complaint_id,category,subcategory,description,incident_date,date_reported,district,district_code,area,pincode,user_address,status,resolution_time,severity
1,Road Maintenance,Unfinished Roadwork,"The main road connecting our village to Allahabad city is completely broken. Ambulances struggle to reach patients, and we have no other alternative route. People have started protesting due to this persistent problem.",2018-01-14,2018-04-30,Allahabad,UP04,Area 5,287890,"120, Colony Road, Area 5, Allahabad, 287890",Resolved,17.0,High
2,Road Maintenance,Unfinished Roadwork,"As a taxi driver in Firozabad, my car’s suspension is completely damaged due to these bad roads. I’ve already spent thousands on repairs, but the roads are still the same. The local authorities visited once but didn't resolve the issue.",2023-09-25,2023-10-07,Firozabad,UP15,Area 1,207071,"112, Main Street, Area 1, Firozabad, 207071",Resolved,26.0,Low
3,Water Supply,Low Pressure,"We haven't had running water in Muzaffarnagar for the past three days! We are forced to buy water from private tankers at a high cost. Why is no action being taken? The local news channel even covered this issue, yet no action.",2023-04-06,2023-07-21,Muzaffarnagar,UP19,Area 4,244777,"65, Colony Road, Area 4, Muzaffarnagar, 244777",Resolved,42.0,Medium
4,Crime,Cyber Crime,Chain snatching is increasing in Lucknow. My mother was robbed in broad daylight outside a crowded market! The police took the complaint but haven't taken any action. Children and elderly people are severely affected due to this issue.,2023-06-04,2023-08-05,Lucknow,UP01,Area 5,294272,"148, Main Street, Area 5, Lucknow, 294272",In Progress,,Low
5,Electricity Issue,Billing Issue,"In Allahabad, we have constant voltage fluctuations. My refrigerator and TV got damaged due to this, and no one from the electricity board is responding to our complaints. Other residents in my locality are also facing similar issues.",2024-07-01,2024-07-03,Allahabad,UP04,Area 5,203135,"42, Bazaar Road, Area 5, Allahabad, 203135",In Progress,,High
6,Corruption,Bribery,"As a contractor in Saharanpur, I lost a project bid because the official favored another bidder who paid him off. Corruption is ruining opportunities for honest people! We demand an immediate resolution before things get worse.",2024-09-06,2025-01-21,Saharanpur,UP16,Area 3,282369,"87, Colony Road, Area 3, Saharanpur, 282369",Pending,,Medium
7,Public Transport,Irregular Metro Services,"As a college student in Varanasi, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. Children and elderly people are severely affected due to this issue.",2024-06-17,2024-10-18,Varanasi,UP03,Area 2,241621,"120, Main Street, Area 2, Varanasi, 241621",Pending,,Medium
8,Water Supply,Pipeline Leakage,"We haven't had running water in Varanasi for the past three days! We are forced to buy water from private tankers at a high cost. Why is no action being taken? Despite multiple complaints, no action has been taken.",2015-09-28,2016-03-08,Varanasi,UP03,Area 1,201617,"41, Colony Road, Area 1, Varanasi, 201617",Resolved,32.0,High
9,Water Supply,Low Pressure,"In Bareilly, water supply is irregular. Sometimes we get water at midnight, sometimes not at all. People are waking up at odd hours just to fill buckets. We demand an immediate resolution before things get worse.",2024-06-13,2024-08-16,Bareilly,UP08,Area 2,226777,"167, Main Street, Area 2, Bareilly, 226777",Pending,,High
10,Road Maintenance,Unfinished Roadwork,"As a taxi driver in Bareilly, my car’s suspension is completely damaged due to these bad roads. I’ve already spent thousands on repairs, but the roads are still the same. Despite multiple complaints, no action has been taken.",2016-06-23,2016-09-21,Bareilly,UP08,Area 3,234184,"137, Bazaar Road, Area 3, Bareilly, 234184",Resolved,37.0,Low
11,Water Supply,Contaminated Water,"We haven't had running water in Moradabad for the past three days! We are forced to buy water from private tankers at a high cost. Why is no action being taken? Even after assurances from the authorities, nothing has changed.",2018-04-13,2018-06-23,Moradabad,UP13,Area 4,288759,"65, Bazaar Road, Area 4, Moradabad, 288759",Pending,,Low
12,Public Transport,Fare Overcharging,"I missed an important job interview because the bus from Mathura to the city was canceled last minute. We need better transport reliability! The situation is worsening each day, and we need urgent help.",2015-04-06,2015-06-05,Mathura,UP17,Area 3,258245,"21, Bazaar Road, Area 3, Mathura, 258245",Pending,,High
13,Electricity Issue,Meter Fault,"In Ghaziabad, we have constant voltage fluctuations. My refrigerator and TV got damaged due to this, and no one from the electricity board is responding to our complaints. The situation is worsening each day, and we need urgent help.",2024-07-14,2024-07-27,Ghaziabad,UP11,Area 3,220047,"45, Bazaar Road, Area 3, Ghaziabad, 220047",In Progress,,Medium
14,Crime,Chain Snatching,"There have been multiple thefts in our colony in Rampur in the last month. People are scared, and yet there is no police patrolling. We demand an immediate resolution before things get worse.",2021-10-03,2022-03-10,Rampur,UP18,Area 3,262814,"63, Bazaar Road, Area 3, Rampur, 262814",Pending,,High
15,Public Transport,Fare Overcharging,"As a college student in Saharanpur, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. The local authorities visited once but didn't resolve the issue.",2017-02-22,2017-06-19,Saharanpur,UP16,Area 5,241775,"10, Main Street, Area 5, Saharanpur, 241775",Pending,,Low
16,Public Transport,Poor Bus Condition,"As a college student in Meerut, I struggle daily because of irregular metro services. We are forced to take expensive auto-rickshaws instead. The situation is worsening each day, and we need urgent help.",2015-11-18,2016-04-23,Meerut,UP07,Area 1,270303,"129, Bazaar Road, Area 1, Meerut, 270303",Pending,,Medium
17,Public Transport,Irregular Metro Services,I missed an important job interview because the bus from Noida to the city was canceled last minute. We need better transport reliability! People have started protesting due to this persistent problem.,2020-06-06,2020-11-28,Noida,UP10,Area 5,290948,"126, Main Street, Area 5, Noida, 290948",In Progress,,Medium
18,Road Maintenance,Road Safety Issues,"The main road connecting our village to Bareilly city is completely broken. Ambulances struggle to reach patients, and we have no other alternative route. The local news channel even covered this issue, yet no action.",2021-11-03,2021-11-24,Bareilly,UP08,Area 5,210273,"184, Colony Road, Area 5, Bareilly, 210273",Pending,,Low
19,Public Transport,Poor Bus Condition,"Public buses in Gorakhpur are always overcrowded. As a woman, I feel unsafe traveling during peak hours. Why can’t there be more frequent buses? Other residents in my locality are also facing similar issues.",2023-11-03,2024-01-22,Gorakhpur,UP05,Area 5,225118,"156, Colony Road, Area 5, Gorakhpur, 225118",Resolved,53.0,Medium
